0, 0.00
50, 0.00
100, 0.00
150, 0.00
200, 0.00
250, 0.00
300, 0.00
350, 0.00
400, 0.00
450, 0.00
500, 0.00
550, 0.00
600, 0.00
650, 0.00
700, 0.00
750, 0.00
800, 0.00
850, 0.00
900, 0.00
950, 0.00
1000, 0.00
1050, 0.00
1100, 0.00
1150, 0.00
1200, 0.00
1250, 0.00
1300, 0.00
1350, 0.00
1400, 0.00
1450, 0.00
1500, 0.00
1550, 0.00
1600, 0.00
1650, 0.00
1700, 0.00
1750, 0.00
1800, 0.00
1850, 0.00
1900, 0.00
1950, 0.00
2000, 0.00
2050, 0.00
2100, 0.00
2150, 0.00
2200, 0.00
2250, 0.00
2300, 0.00
2350, 0.00
2400, 0.00
2450, 0.00
2500, 0.00
2550, 0.00
2600, 0.00
2650, 0.00
2700, 0.00
2750, 0.00
2800, 0.00
2850, 0.00
2900, 0.00
2950, 0.00
3000, 0.00
3050, 0.00
3100, 0.00
3150, 0.00
3200, 0.00
3250, 0.00
3300, 0.00
3350, 0.00
3400, 0.00
3450, 0.00
3500, 0.00
3550, 0.00
3600, 0.00
3650, 0.00
3700, 0.00
3750, 0.00
3800, 0.00
3850, 0.00
3900, 0.10
3950, 0.10
4000, 0.10
4050, 0.10
4100, 0.10
4150, 0.10
4200, 0.10
4250, 0.10
4300, 0.10
4350, 0.10
4400, 0.10
4450, 0.10
4500, 0.10
4550, 0.10
4600, 0.10
4650, 0.10
4700, 0.10
4750, 0.10
4800, 0.12
4850, 0.12
4900, 0.12
4950, 0.12
5000, 0.12
5050, 0.12
5100, 0.12
5150, 0.12
5200, 0.12
5250, 0.12
5300, 0.12
5350, 0.12
5400, 0.12
5450, 0.12
5500, 0.12
5550, 0.12
5600, 0.20
5650, 0.20
5700, 0.20
5750, 0.20
5800, 0.20
5850, 0.20
5900, 0.20
5950, 0.20
6000, 0.20
6050, 0.20
6100, 0.20
6150, 0.20
6200, 0.20
6250, 0.20
6300, 0.20
6350, 0.20
6400, 0.26
6450, 0.26
6500, 0.26
6550, 0.26
6600, 0.26
6650, 0.26
6700, 0.26
6750, 0.26
6800, 0.26
6850, 0.26
6900, 0.26
6950, 0.26
7000, 0.26
7050, 0.26
7100, 0.26
7150, 0.26
7200, 0.29
7250, 0.29
7300, 0.29
7350, 0.29
7400, 0.29
7450, 0.29
7500, 0.29
7550, 0.29
7600, 0.29
